,CASEID,ADDRESS,NEIGH,NEIGH-Income,ZIP,POLICED,COUNCILD,SOURCE,Sum SOURCE ,CATEGORY,Sum CATEGORY ,DAYTOCLOSE,Sum DAYTOCLOSE,TYPE,CATTYPE,GROUP311,VIS_STREET,DEPT,WORKGRP,REQTYPE,DETAIL,CREATEDATE,CREATTIME,CREATEMO,CREATEYR,STATUS,EXCEEDTIME,CLOSEDATE,CLOSEMO,CLOSEYR,DAYTOCLOSE.1,ADDGEOC,COUNTY,Latitude,Longitude,APN,CASEURL
2483,2019197295,10235 N Harrison Ct,New Mark,H,64155.0,Shoal Creek,2.0,WEB,13543,Property / Buildings / Construction,7280,182,12,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,11/26/2019,12:13 PM,11,2019,RESOL,Y,5/26/2020,5.0,2020.0,182.0,"10235 N Harrison Ct64155
(39.280161, -94.566633)",Clay,39.280161,-94.566633,102632,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019197295
2484,2019173540,9221 N Mulberry Ave,Outer Gashland-Nashua,H,64155.0,North,2.0,WEB,13543,Property / Buildings / Construction,7280,10,807,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,9/30/2019,2:32 PM,9,2019,RESOL,N,10/10/2019,10.0,2019.0,10.0,"9221 N Mulberry Ave64155
(39.26153, -94.598067)",Clay,39.26153,-94.598067,224661,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019173540
2485,2019173251,8505 N Rhode Ave,Prairie Point-Wildberry,H,64153.0,North,2.0,WEB,13543,Property / Buildings / Construction,7280,73,58,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,9/30/2019,10:42 AM,9,2019,RESOL,Y,12/12/2019,12.0,2019.0,73.0,"8505 N Rhode Ave64153
(39.248236, -94.67007)",Platte,39.248236,-94.67007,168805,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019173251
2486,2019173458,8899 NE 79th St,Shoal Creek,H,64158.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,169,16,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Main Structure,9/30/2019,1:31 PM,9,2019,RESOL,Y,3/17/2020,3.0,2020.0,169.0,"8899 NE 79th St64158
(39.233495, -94.472442)",Clay,39.233495,-94.472442,246741,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019173458
2487,2019173397,2613 NE 36th St,River Forest,H,64117.0,Shoal Creek,1.0,PHONE,30436,Property / Buildings / Construction,7280,3,3615,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,9/30/2019,12:52 PM,9,2019,RESOL,N,10/3/2019,10.0,2019.0,3.0,"2613 NE 36th St64117
(39.1594, -94.548367)",Clay,39.1594,-94.548367,78259,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019173397
2488,2020004580,601 NE 97th Ter,New Mark,H,64155.0,Shoal Creek,2.0,WEB,13543,Property / Buildings / Construction,7280,11,721,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,1/10/2020,9:14 PM,1,2020,RESOL,N,1/21/2020,1.0,2020.0,11.0,"601 NE 97th Ter64155
(39.270305, -94.573984)",Clay,39.270305,-94.573984,103478,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020004580
2489,2020003754,508 W 96th Ter,Lea Manor,H,64114.0,South,6.0,WEB,13543,Property / Buildings / Construction,7280,57,89,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,NHS,NHS-Neighborhood Preservation-,Property Violations,Other Property Issue,1/9/2020,11:01 AM,1,2020,RESOL,N,3/6/2020,3.0,2020.0,57.0,"508 W 96th Ter64114
(38.953796, -94.598396)",Jackson,38.953796,-94.598396,152656,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020003754
2490,2019193301,5246 N Brighton Ave,Foxwoods-Carriage Hills,H,64119.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,26,303,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,11/16/2019,12:22 AM,11,2019,RESOL,N,12/12/2019,12.0,2019.0,26.0,"5246 N Brighton Ave64119
(39.189535, -94.521854)",Clay,39.189535,-94.521854,80895,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019193301
2491,2019181939,8917 N Cherry St,Gashland,H,64155.0,Shoal Creek,1.0,WEB,13543,Property / Buildings / Construction,7280,23,246,Property Maintenance,Property / Buildings / Construction Property Maintenance,PROPERTY,VISIBLE,Northland,Northland-Neighborhood-Inc,Prop/Build/Construct-Property Maintenance-NNI,Northland Neighborhoods INC,10/20/2019,4:38 PM,10,2019,RESOL,N,11/12/2019,11.0,2019.0,23.0,"8917 N Cherry St64155
(39.256139, -94.573145)",Clay,39.25613900000001,-94.573145,92123,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2019181939
2492,2020003419,7240 Wornall Rd,Ward Parkway,H,64114.0,Metro,6.0,PHONE,30436,Property / Buildings / Construction,7280,5,2293,Parking Lot,Property / Buildings / Construction Parking Lot,VEHICLE_PARKING,VISIBLE,City Planning and Development,City Planning and Development-Dev Comp-Zoning,Prop/Build/Construct-Parking Lot-Parking Spaces,Number Parking Spaces,1/8/2020,4:52 PM,1,2020,RESOL,N,1/13/2020,1.0,2020.0,5.0,"7240 Wornall Rd64114
(38.996176, -94.594376)",Jackson,38.996176,-94.594376,110650,http://city.kcmo.org/kc/ActionCenterRequest/CaseInfo.aspx?CaseID=2020003419
