,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Trash / Recycling
48,255,149,354,66875,159350,308,595,71,7,64,25,78,339,25,24.0,33,23.95833333
49,252,213,279,21971,34900,6,10,464,0,24,92,118,211,38,41.0,28,10.65217391
50,250,130,300,33709,61874,56,191,579,0,4,103,185,300,35,41.0,32,20.7755102
51,250,246,239,26493,62057,62,14,595,3,29,103,180,350,29,40.0,29,27.59313725
52,248,311,170,24107,9999,18,376,143,9,174,74,168,402,5,35.0,23,33.63636364
53,242,338,132,51085,85800,173,288,836,5,143,86,240,525,19,31.0,25,19.28174603
54,242,274,194,60028,104750,173,811,38,50,77,17,71,345,19,13.0,19,15.78409091
55,242,252,212,78995,162400,450,1513,126,26,91,0,128,682,18,6.0,32,19.53488372
56,241,521,191,35891,58000,59,21,795,0,17,222,212,360,46,47.0,45,13.36538462
57,240,504,192,29226,38200,24,99,364,0,263,135,148,282,38,39.0,31,20.51769912
58,240,540,192,30139,37850,41,29,999,0,7,250,257,442,39,45.0,37,16.9389313
59,240,330,115,40045,70200,102,38,497,0,4,69,122,252,33,40.0,32,19.28846154
60,239,503,192,37689,47000,38,16,603,0,82,185,128,338,43,46.0,39,25.21818182
61,237,254,208,33543,67285,73,228,119,41,284,81,138,288,65,36.0,43,23.28571429
62,234,588,170,42097,73700,125,125,998,0,35,92,245,500,14,25.0,20,36.03571429
63,234,191,264,87522,210250,570,1419,379,14,82,27,192,753,8,8.0,18,16.04907975
64,234,120,324,55929,177200,679,982,47,0,37,57,695,770,92,47.0,70,39.58823529
65,227,481,181,36625,54250,46,183,902,3,13,186,283,444,48,42.0,40,70.14925373
66,225,242,200,32541,51933,56,83,475,0,45,126,153,288,41,49.0,39,32.21666667
67,225,221,287,47097,99633,210,668,609,18,155,64,296,672,12,23.0,18,7.739130435
68,222,283,150,64750,247200,663,1051,36,56,0,0,74,487,67,43.0,41,9.212121212000001
69,222,183,248,40687,75400,117,490,122,1,116,29,93,340,9,22.0,12,23.42553191
70,221,32,255,65382,151650,408,835,110,9,111,15,119,562,57,35.0,43,8.202531646
71,221,296,132,28156,79060,73,104,648,3,32,64,219,344,19,34.0,20,19.42214533
72,218,217,208,64869,140400,414,872,312,31,77,42,100,501,7,2.0,19,6.251655629
73,210,348,186,32989,76800,59,596,557,0,307,56,559,722,29,38.0,25,46.20689655
74,207,294,105,57547,131166,204,969,78,6,140,16,108,428,37,24.0,32,12.2
75,207,127,282,29765,74100,70,248,728,0,16,117,306,449,15,36.0,18,12.78125
76,206,444,163,24450,42200,36,36,574,5,36,200,154,309,61,46.0,49,16.87755102
77,204,276,190,55312,189260,454,629,96,54,34,63,303,492,79,50.0,61,22.92682927
78,203,165,235,54397,114100,82,1171,7,0,0,104,131,530,16,18.0,17,14.74358974
79,203,272,123,26525,203700,169,380,298,0,104,126,295,411,73,52.0,75,7.021505376
81,200,215,100,86947,208166,378,1041,111,64,224,53,213,584,10,27.0,28,7.072164947999999
82,200,332,35,26766,92649,171,405,821,143,163,83,359,464,70,60.0,58,2.375
83,200,150,-12,23979,44880,40,230,108,32,522,80,180,334,58,39.0,35,29.05319149
84,198,194,192,32378,61000,60,90,530,2,97,165,147,296,38,43.0,39,23.92972973
85,194,149,230,60368,99000,392,1491,256,56,240,0,161,754,18,7.0,27,25.80952381
86,193,146,232,62296,108500,108,605,270,9,56,13,59,387,29,28.0,30,32.65789474
87,190,341,163,51439,100950,98,536,133,0,83,51,103,365,47,37.0,40,42.58333333
88,188,77,208,89394,180600,396,747,83,0,67,12,37,375,27,24.0,31,4.1315789469999995
89,188,123,242,80826,238700,810,2087,163,9,147,56,351,1008,12,25.0,20,13.27380952
90,187,75,207,162000,957400,492,707,0,8,0,19,0,302,52,37.0,31,3.952380952
91,184,208,149,29535,98333,89,30,642,0,98,109,326,466,46,44.0,37,18.89108911
92,181,443,134,46515,106700,99,314,453,8,11,77,204,363,5,24.0,24,14.08602151
93,181,170,183,34659,96000,178,295,552,26,150,88,468,558,2,17.0,16,5.904761905
94,181,173,178,35889,57050,17,35,512,0,47,111,103,229,44,44.0,32,41.31578947
95,179,156,190,94225,212866,708,1899,126,36,161,55,189,856,20,15.0,27,7.843243243
96,179,274,71,73960,215900,725,1717,322,28,199,22,584,1007,4,20.0,26,2.730769231
97,177,216,130,38194,198850,396,595,209,69,166,95,447,547,73,58.0,63,22.6
98,175,368,140,55095,195833,475,639,129,55,53,86,269,449,59,49.0,55,20.24637681
99,174,185,152,69426,162466,306,1102,233,9,118,12,167,581,4,14.0,13,13.47368421
100,172,201,129,81353,193620,372,1073,85,68,162,31,87,570,11,6.0,23,15.01724138
101,165,191,130,64375,170100,159,396,406,0,68,38,136,330,51,48.0,52,14.05882353
103,149,253,35,52030,286599,425,814,194,109,72,114,548,704,26,14.0,19,2.2
104,146,319,115,46397,123750,240,507,559,10,69,81,314,526,14,29.0,42,10.58227848
105,145,217,67,14615,73383,73,167,857,84,199,84,395,437,68,53.0,61,92.5
106,144,333,110,41122,138300,226,512,111,32,109,126,436,482,82,54.0,67,26.0
107,140,97,148,80822,186266,434,691,88,24,69,64,126,450,30,28.0,40,9.698113207999999
108,139,198,73,46921,98150,173,537,147,36,55,53,249,366,18,25.0,23,10.375
109,138,112,158,51379,112600,84,597,0,0,227,0,100,356,43,23.0,31,39.31034483
110,137,289,-28,58238,157366,307,685,327,40,119,76,263,569,13,1.0,21,14.60606061
111,132,98,161,47585,103675,167,666,162,34,125,35,130,408,43,23.0,42,6.375
112,131,178,122,25792,50125,48,70,695,3,22,150,186,320,61,46.0,50,29.85333333
114,126,459,66,39273,46100,33,113,441,0,190,93,94,337,10,32.0,27,30.35714286
115,126,87,162,56358,160150,398,1497,357,139,229,72,271,835,8,19.0,16,4.3636363639999995
116,125,323,89,46611,139177,399,537,616,27,51,79,537,715,27,28.0,47,23.16666667
117,122,120,122,68125,139300,626,998,65,0,14,44,197,669,56,40.0,46,43.79365079
118,121,136,118,116154,282350,599,903,33,2,47,31,54,447,80,43.0,49,6.305084746
119,114,16,132,47710,224866,412,595,145,70,124,70,416,522,75,59.0,57,2.5333333330000003
120,112,277,83,26363,103350,58,105,717,10,35,139,398,459,55,46.0,50,40.0
121,112,277,83,70310,202700,409,1148,188,7,146,22,494,731,8,18.0,17,7.535714286
122,111,278,84,49240,105400,60,519,23,6,225,0,90,317,31,20.0,26,21.88235294
123,106,275,-68,88957,174050,612,1823,136,22,183,0,42,758,10,3.0,36,4.227272727
124,100,216,-21,64412,146600,386,983,417,35,134,35,120,540,13,12.0,22,2.88
125,89,126,83,55277,205550,456,771,110,30,229,0,129,473,65,42.0,43,7.826086957
126,87,232,61,40885,209250,288,656,192,15,87,91,535,620,81,48.0,63,39.13043478
127,82,194,61,36903,96850,64,207,382,18,82,4,113,309,23,31.0,28,24.13114754
128,79,230,-76,65824,168850,494,1360,244,26,154,83,283,799,37,26.0,53,2.0
129,78,-72,105,81429,240300,261,244,79,28,217,65,9,252,54,47.0,40,52.9
130,75,53,78,71120,196680,581,847,54,50,76,112,378,601,80,40.0,47,9.28
131,74,80,74,39201,120700,193,186,476,0,43,0,169,361,27,32.0,26,10.09375
132,70,35,77,89487,374000,544,746,57,67,29,99,260,476,87,46.0,40,5.315789474
133,70,210,-76,95625,203750,619,1673,35,69,50,22,66,670,17,17.0,24,12.90322581
134,65,114,56,54218,210880,457,770,43,25,129,41,307,510,78,42.0,57,7.524064171
135,60,204,35,48351,139500,324,887,472,42,84,43,274,648,11,14.0,19,18.55769231
136,60,184,38,93576,179000,400,641,526,0,62,21,25,487,25,32.0,22,9.384615385
137,54,185,-82,83274,226380,721,1545,263,149,203,64,414,897,28,27.0,47,7.204545455
138,51,31,66,73289,121200,285,1128,833,84,419,93,110,880,18,14.0,24,13.87903226
139,50,175,-72,34308,96800,260,402,680,54,121,71,533,671,41,34.0,39,27.57575758
140,50,168,-75,63500,150500,526,1708,439,330,266,0,447,1170,45,25.0,38,34.94736842
141,38,47,-6,89747,232100,784,1939,209,127,172,124,604,1122,25,18.0,38,2.44
142,32,7,36,127478,305000,584,978,0,5,44,29,27,444,66,41.0,42,2.888888889
143,22,-21,30,126046,305933,467,1055,190,7,26,18,63,443,4,12.0,13,13.84210526
144,21,115,4,56325,191933,860,1226,479,105,90,101,948,1123,26,32.0,19,25.03125
145,12,2,38,85750,260900,659,1279,103,17,37,187,101,581,19,24.0,28,13.62857143
147,0,0,0,88100,323300,272,581,2,0,0,9,20,238,17,22.0,31,7.590909091
148,0,0,0,38989,40400,45,25,554,3,10,123,111,287,39,43.0,35,21.1875
149,-2,-21,-18,92983,245900,414,728,40,37,49,9,88,346,70,47.0,47,19.47619048
151,-15,51,27,161250,490200,1414,2360,22,24,11,0,11,885,44,39.0,56,5.178571429
152,-15,51,-27,61253,206400,452,644,124,35,45,75,326,517,71,65.0,59,16.16666667
153,-15,51,-27,181406,539100,608,979,23,4,67,0,15,392,74,40.0,56,2.029411765
154,-15,51,-27,77700,252800,1501,2019,201,112,138,206,1211,1496,81,70.0,69,26.66666667
155,-15,51,-27,113000,421200,398,631,0,0,65,0,0,316,20,33.0,37,5.842105263
156,-15,51,-27,103594,273900,755,1013,15,52,58,114,204,626,63,34.0,35,1.714285714
157,-15,-37,3,65824,168850,494,1360,244,26,154,83,283,799,37,25.0,33,7.741935484
158,-20,-30,-15,94333,215133,645,1570,49,49,64,27,28,688,12,12.0,19,3.2093023260000004
159,-26,35,-37,58689,108600,117,348,477,25,89,25,61,335,12,9.0,31,13.49275362
160,-29,34,-41,37500,93150,127,226,619,0,63,68,149,383,21,26.0,30,28.70422535
161,-32,1,-38,94950,237450,468,1010,370,16,41,27,142,626,4,2.0,18,20.78666667
162,-37,-50,-35,109479,276650,727,1015,18,44,13,24,94,572,62,42.0,48,5.271428571
163,-42,-72,-11,29130,83100,286,1006,1167,21,94,207,786,980,3,34.0,15,9.222222222000001
164,-55,-54,-57,27957,44850,30,44,666,0,33,151,160,306,52,46.0,42,29.79473684
166,-84,-82,-75,61104,303550,347,778,125,218,189,57,273,565,22,20.0,24,2.769230769
167,-89,-85,-93,31153,41850,40,333,51,8,233,116,116,256,19,32.0,13,16.85
168,-89,-85,-93,95488,220700,633,1286,24,24,123,28,40,604,30,26.0,22,2.9305555560000003
169,122,277,83,23787,102350,78,798,246,23,6,108,210,426,27,24.0,34,26.09090909
171,-89,-85,-93,204271,704633,529,857,15,6,44,6,10,336,40,36.0,45,2.444444444
172,122,277,83,65568,115300,115,766,30,0,120,73,101,328,23,26.0,32,2.461538462
173,-89,-85,-93,133508,368933,676,1043,28,11,39,1,47,457,66,42.0,39,12.70731707
174,120,56,90,52741,113900,212,748,136,83,70,86,245,456,47,28.0,39,30.02985075
175,54,80,23,70810,242650,476,634,69,2,51,35,357,458,85,67.0,73,23.04545455
176,340,140,221,55012,123933,248,826,249,93,150,40,289,548,31,29.0,33,4.12
177,800,780,20,25996,21500,99,33,785,0,0,178,466,493,89,73.0,67,19.05714286
178,185,476,134,39205,103775,173,494,451,41,59,87,250,370,70,46.0,47,24.05263158
179,445,924,359,33865,56766,63,243,488,14,70,128,260,434,15,25.0,19,18.36448598
180,129,373,85,42563,84620,114,284,469,17,71,46,199,356,37,32.0,37,12.47169811
181,122,277,83,25546,126750,151,207,1039,22,97,120,548,619,71,50.0,53,2.925925926
182,122,277,83,63034,123800,127,815,108,2,126,15,141,422,5,17.0,20,6.984375
183,122,277,83,53228,58000,217,648,155,137,59,52,493,533,17,21.0,18,17.75
184,220,486,175,24308,84780,88,168,604,29,145,107,311,406,71,46.0,55,26.375
185,43,181,19,48236,164400,121,361,335,7,26,26,94,329,22,20.0,35,22.72380952
187,73,207,49,67383,214600,268,573,96,0,74,41,78,314,29,23.0,35,12.56
188,1,6,0,80428,198933,375,673,192,40,97,15,87,413,13,19.0,30,8.871794872
189,122,277,83,37222,49800,34,112,452,2,3,97,138,280,50,44.0,38,48.4893617
190,122,277,83,86996,198650,690,2056,116,85,252,52,323,977,23,10.0,27,13.84357542
191,122,277,83,55240,526866,358,943,149,41,30,79,397,514,79,49.0,54,9.666666667000001
192,-2,-31,16,88507,246400,465,1023,61,26,158,33,183,587,21,25.0,32,6.537815126
193,213,560,12,39028,106800,119,555,120,0,53,43,129,247,6,0.0,30,21.34615385
194,89,31,60,82241,183371,421,1143,85,2,118,30,71,506,12,18.0,29,18.30434783
195,70,65,240,49849,99100,147,582,525,4,85,79,287,570,19,36.0,19,52.40816327
196,54,76,127,56404,139900,209,615,62,6,71,156,286,419,33,27.0,23,20.89361702
197,122,277,83,50958,210200,379,525,148,9,278,87,376,542,68,54.0,49,14.08450704
198,122,277,83,73875,115100,148,929,133,49,188,0,187,471,13,21.0,18,3.684210526
