,total crime,violent crime,property crime,Median income,Median home value,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Animals / Pets,Lights / Signals,Trash / Recycling
36,0.4319460067491564,0.5907563025210084,0.4230769230769231,0.12302273590078878,0.08697584233075539,0.011063829787234043,0.6475233309404164,0.051515151515151514,0.011703511053315995,0.256,0.18827415359207267,0.210727969348659,0.6333333333333333,0.6027397260273972,0.3129931615501683,0.014383561644623757,0.18697037314181914
37,0.42969628796400455,0.2983193277310925,0.5089743589743589,0.05147213903066604,0.03790686309176368,0.05957446808510638,0.18521177315147164,0.08181818181818182,0.4031209362808843,0.404,0.12799339388934763,0.06436781609195402,0.7333333333333333,0.5753424657534246,0.1834760014772042,0.04474885844354788,0.3037817990737883
38,0.42744656917885265,0.3470588235294118,0.4846153846153846,0.34555721938667905,0.3499056893543494,0.2251063829787234,0.07178750897343862,0.23636363636363636,0.10663198959687907,0.364,0.21139554087530965,0.19386973180076628,0.6888888888888889,0.6986301369863013,0.6147140603386916,0.049863013701362355,0.028848675582914714
39,0.42632170978627676,0.2815126050420168,0.5423076923076923,0.08753743620027839,0.06254057152145712,0.04,0.4551328068916009,0.0,0.17815344603381014,0.464,0.21056977704376548,0.13946360153256704,0.6,0.6575342465753424,0.028158554329152242,0.04155251142419465,0.35135103399102646
40,0.4206974128233971,0.273109243697479,0.5217948717948718,0.5801820137512127,0.28393573576553116,0.371063829787234,0.03589375448671931,0.06666666666666667,0.06631989596879063,0.016,0.018992568125516102,0.16781609195402297,0.17777777777777778,0.3150684931506849,0.05260389269830297,0.03698630138010883,0.04763057555925215
41,0.41957255343082117,0.4378151260504202,0.2653846153846154,0.10748407643312101,0.10819177940491935,0.03276595744680851,0.7587939698492463,0.0,0.11703511053315994,0.508,0.32452518579686207,0.3118773946360153,0.4444444444444445,0.3698630136986301,0.039124145191798396,0.0652054794556277,0.10778914241036101
42,0.41394825646794153,0.3252100840336135,0.4256410256410257,0.1956384190323533,0.4006761656363039,0.18851063829787235,0.007178750897343863,0.03939393939393939,0.0,0.196,0.106523534269199,0.059003831417624525,0.8555555555555555,0.6301369863013698,0.026301946349151485,0.7479452055204354,0.027179743943266152
43,0.41057367829021374,0.34957983193277314,0.4025641025641026,0.1827308389927026,0.11832476427616184,0.3131914893617021,0.17372577171572148,0.09696969696969697,0.2483745123537061,0.06,0.18249380677126342,0.27969348659003834,0.32222222222222224,0.3972602739726027,0.08100999474970536,0.023972602741039597,0.1470857167454065
44,0.40944881889763785,0.29915966386554627,0.5871794871794872,0.2063472813936812,0.08106493448919729,0.15234042553191487,1.0,0.0,0.032509752925877766,0.496,0.24607762180016515,0.22298850574712642,0.15555555555555556,0.0821917808219178,0.0232960096316502,0.042868654320157185,0.21604543666651127
45,0.4083239595050619,0.2882352941176471,0.4782051282051282,0.04307799384148141,0.024804702549395666,0.08170212765957446,0.2246949030868629,0.0030303030303030303,0.3433029908972692,0.436,0.15854665565648224,0.1111111111111111,0.4,0.5205479452054794,0.1538663860644194,0.05114155252061049,0.45728639591044123
