NBH_ID,NBH_NAME,total crime,violent crime,property crime,Median income,Median home value,Population with BS or More,White alone,Black or African American alone,Asian alone,Hispanic or Latino,Total Vacant,Total Renter Occupied,Number of Households,Walk Score,Transit Score,Bike Score,Population
184,Martin City,73,207,49,67383,214600,268,573,96,0,74,41,78,314,29,23,35,1083
152,Mission Lake,1,6,0,80428,198933,375,673,192,40,97,15,87,413,13,19,30,3095
121,Neighbors United For Action,122,277,83,37222,49800,34,112,452,2,3,97,138,280,50,44,38,1147
235,New Mark,122,277,83,86996,198650,690,2056,116,85,252,52,323,977,23,10,27,4761
86,Park Central-Research Park,122,277,83,55240,526866,358,943,149,41,30,79,397,514,79,49,54,861
229,Park Plaza,-2,-31,16,88507,246400,465,1023,61,26,158,33,183,587,21,25,32,2453
186,Richards Gebaur,213,560,12,39028,106800,119,555,120,0,53,43,129,247,6,0,30,837
239,Ridgefield,89,31,60,82241,183371,421,1143,85,2,118,30,71,506,12,18,29,4975
39,Riss Lake,70,65,240,49849,99100,147,582,525,4,85,79,287,570,19,36,19,2631
190,River View,54,76,127,56404,139900,209,615,62,6,71,156,286,419,33,27,23,1550
8,Westside North,122,277,83,50958,210200,379,525,148,9,278,87,376,542,68,54,49,1930
209,Winnetonka,122,277,83,73875,115100,148,929,133,49,188,0,187,471,13,21,18,1232
